"year","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2025,"a6",186.228885968291,358.34504685554,268.011392021873,11137216.6142234,15030657.6496867,13058456.7575181,4203037180.27262,4724665477.67974,4460437566.13406,1140.91718856087,2197.03064229497,1633.35054542187,3347.39482100117,6441.1186682387,4817.40488839141,20507.561264315,39490.8070000014,29358.8673325122,2885289.27829621,3893952.7589862,3383019.88536738,2683319.02881548,3621376.06585717,3146208.49339166,496630.417026736,670246.6186405,582302.29776886,1913053.50929572,4141111.6644139,2730851.36478281,106430.774642627,230386.510457539,151928.121600064,2.92997182856916e-09,7.61459399867292e-09,4.82808437658503e-09
2025,"a7",19.2678367366949,248.515194614496,116.275201466859,10685674.9027337,14622240.1783163,12660106.9531913,6182629184.79079,6712577451.54778,6448431164.36411,101.47478251887,1289.05961752252,606.506438704286,346.332184553208,4466.96800588875,2090.00341261399,1823.97139788358,23170.3662147844,10901.7272012693,2797297.09495647,3827811.56500426,3314164.12387207,2545540.35641039,3483308.52415388,3015889.35272359,481484.762469383,658862.065626359,570450.49982148,4796232.15307401,66150202.8871016,10632090.2019445,266833.468555444,3680198.8558245,591505.460126845,2.65098688364398e-10,4.60823278244808e-09,1.83004346204702e-09
2025,"a8",16.8515012699245,218.01919557067,101.855893918616,11051627.1815092,15123007.9971733,13093677.6009261,6224756946.00948,6770224932.71501,6498343029.32182,103.891196675052,1319.68970912368,620.925746252529,302.899455064369,3918.8137884064,1830.8217332604,1867.40554178526,23720.9306960109,11160.9088806228,2863115.85013192,3917877.71947495,3392144.45619847,2662697.74062268,3643626.27911171,3154694.34426458,492813.815703956,674364.702464626,583872.864523162,4716833.73976064,65166492.9213467,10465571.879635,262416.219067505,3625471.15836584,582241.383638926,2.65172126630269e-10,4.60927806698034e-09,1.83048143812953e-09
2026,"a1",213.205469120325,408.837839311812,306.389497057248,21534463.7848959,29066161.7446767,25251778.897718,5447944281.85645,6431910254.007,5933586642.75702,1115.93378047948,2149.16436286529,1597.72940946304,3719.02759722027,7131.52065686661,5344.47357169469,19465.6757324143,37488.7267640751,27869.8280639792,5637294.18452773,7608942.86509862,6610413.32400995,5129937.70792023,6924138.00723974,6015476.12484906,970319.261511835,1309689.2906551,1137817.39339521,2534912.81355196,5763702.44051885,3713761.92214623,145322.200888325,330423.168577526,212903.597005895,1.46660817443924e-09,3.81240412956262e-09,2.41698866795494e-09
2026,"a2",173.70183881195,333.174647737274,249.398437963494,22644679.1337076,30564675.9042267,26553641.4747054,5571807666.29396,6599094967.8808,6078831531.53538,1155.89694213955,2225.75064809966,1654.72046855679,3029.95009881745,5811.69758328184,4350.35591402397,20162.7690185255,38824.6517266495,28863.9457216499,5836257.50868753,7877493.78974916,6843722.02956325,5486082.05816628,7404844.16236421,6433098.70778945,1004565.82368284,1355913.61856057,1177975.65433857,2503338.66960845,5709068.62653862,3673630.46934278,143512.109407267,327291.105790954,210602.929694946,1.46734097543015e-09,3.81366080024148e-09,2.41786627424199e-09
2026,"a3",0,201.414431277353,58.2892998706738,21374745.505002,29263678.377557,25335900.0354315,7403036102.57803,8433672427.16584,7920534452.77556,0,1059.05128688678,304.027257555933,0,3513.35184547333,1016.76338668096,0,18473.451825857,5303.26809074299,5595483.11649267,7660648.78993639,6632434.56424909,5091889.63600833,6971190.39884211,6035515.45346667,963122.531426301,1318589.1729678,1141607.79937137,6990252.6858168,Inf,26052053.7416563,400739.188992071,Inf,1493519.52744027,0,1.89268962990028e-09,4.58394658267321e-10
2026,"a4",0,163.587948292018,47.4455985841695,22476726.5328854,30772375.5627751,26642099.5013789,7525980808.61696,8601993230.55994,8066263195.20006,0,1096.82783805687,314.870958842437,0,2853.52949331382,827.612402389072,0,19132.4031975504,5492.41907503487,5792970.75589829,7931024.6295812,6866520.49004612,5445392.51054439,7455163.15180633,6454529.26064335,997115.091358994,1365127.61436666,1181899.83934919,6861588.07014776,Inf,25617679.1433994,393363.067404964,Inf,1468617.57724648,0,1.89337713631663e-09,4.58559701815326e-10
2026,"a5",213.205469120325,408.837839311812,306.389497057248,10784044.4380407,14554020.5997527,12644360.1523872,4043473884.85685,4535996059.63765,4286511692.5529,1115.93378047948,2149.16436286529,1597.72940946304,3719.02759722027,7131.52065686661,5344.47357169469,19465.6757324143,37488.7267640751,27869.8280639792,2823048.28220961,3809953.03658449,3310041.9247087,2568973.93681074,3467057.26329188,3012138.15148492,485917.185575328,655788.166422105,569740.966290485,1881416.77515351,4064753.78645558,2682877.12998505,107858.394612955,233025.358173633,153804.741195841,2.92899615760062e-09,7.6129210272774e-09,4.82691592978432e-09
2026,"a6",173.70183881195,333.174647737274,249.398437963494,11340018.8879723,15304357.2330754,13296243.7032063,4105502280.6118,4619708859.11413,4359240377.98318,1155.89694213955,2225.75064809966,1654.72046855679,3029.95009881745,5811.69758328184,4350.35591402397,20162.7690185255,38824.6517266495,28863.9457216499,2922685.28040524,3944421.96728747,3426866.93381607,2747324.16358092,3707756.64925022,3221254.91778711,503067.203889752,678933.631119356,589849.470983091,1844547.26953222,3996644.24283633,2634427.05932393,105744.729135426,229120.754935473,151027.181800493,2.93045965093446e-09,7.61543045028459e-09,4.82866857836858e-09
2026,"a7",0,201.414431277353,58.2892998706738,2836323.59644219,14632492.4149188,12377297.189732,4981115251.15771,6522205823.44377,6227579648.3117,0,1059.05128688678,304.027257555933,0,3513.35184547333,1016.76338668096,0,18473.451825857,5303.26809074299,742493.088073873,3830495.39657561,3240130.1543801,675668.710147224,3485750.8108838,2948518.44048589,127801.622784715,659324.020135577,557707.402822675,4703374.9100106,Inf,20483622.7461151,269636.411111091,Inf,1174290.93565572,0,1.42634497734396e-08,9.38318039924847e-10
