"variable","region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"non_suspect_bite_incidence","Hunan","a3",30.7914087020439,30.7918368877931,30.7916152786529,18039182.8283733,24695489.8931605,21348578.7004846,4768828615.95739,5654927998.99379,5209381254.52392,92.3287837918799,92.3292119776291,92.3290054010201,553.399024496873,553.406720071251,553.402737197875,1659.38036086077,1659.38805643515,1659.38434373415,4555349.19908418,6236234.82150517,5391055.22739511,4464242.2151025,6111510.12507507,5283234.12284721,1053160.29203467,1441767.60085342,1246368.84013193,51650268.7915592,61247725.4302479,56421936.2257569,2873847.74011344,3407855.20449356,3139345.79062084,0.000000000148052128302628,0.000000000202683061039955,0.000000000171263326949133
"non_suspect_bite_incidence","Hunan","a7",30.7914087020439,30.7918368877931,30.7916152786529,7809503.03624367,10690681.6786028,9241973.1150776,3430150427.5824,3822228279.14262,3625084466.96346,92.3287837918799,92.3292119776291,92.3290054010201,553.399024496873,553.406720071251,553.402737197875,1659.38036086077,1659.38805643515,1659.38434373415,1972096.72632416,2699667.09055626,2333831.59471657,1932654.79179768,2645673.74874513,2287154.96282224,455932.986352335,624141.433999883,539563.194045712,37151301.8914697,41398013.9471822,39262682.9588203,2067117.70298707,2303406.96400668,2184596.04048442,0.000000000342000627095305,0.00000000046817790803661,0.000000000395611258370307
"non_suspect_bite_incidence","Shaanxi","a2",57.0270500405986,93.7701579821034,75.6243969985463,6675957.24649226,9055176.53239642,7873080.35542734,1798212084.2543,2152122708.88033,1976285030.17716,431.080589523322,708.829509215468,571.655689072099,905.728548728409,1489.29864717385,1201.09964202783,6797.05353113384,11176.4533974287,9013.56827853795,1698886.89678868,2304346.80615708,2003528.86625019,1639091.72645745,2223241.46004113,1933011.31146348,473286.105028771,641958.759340076,558155.092733175,2536875.31469247,4992390.66008537,3457124.74826417,160892.907643492,316625.82897465,219256.677167782,0.00000000187072791461554,0.00000000417231724227983,0.00000000285324408697945
"non_suspect_bite_incidence","Shaanxi","a3",11.8550522747531,11.8553006286841,11.8551720921758,6131146.64463174,8393241.82199,7255819.58555949,2337651964.21554,2680258289.98172,2507989652.84891,61.4241666206032,61.4244149745341,61.4242951571115,213.065092958724,213.069556503224,213.06724637903,1103.94669442345,1103.95115796795,1103.94900454765,1605012.21063658,2197183.72303403,1899429.21087945,1460561.11167929,1999437.18796097,1728480.5819003,447133.931712403,612104.624665159,529154.386142062,38057374.5014047,43635240.61363,40830580.903435,2117532.05505799,2427887.41840611,2271834.69754255,0.00000000027955862760436,0.000000000382703723793926,0.000000000323382913168276
"non_suspect_bite_incidence","Shaanxi","a7",11.8550522747531,11.8553006286841,11.8551720921758,2654668.00555162,3633814.58754403,3141482.03397583,1820058086.67839,1971653217.75708,1895428452.88009,61.4241666206032,61.4244149745341,61.4242951571115,213.065092958724,213.069556503224,213.06724637903,1103.94669442345,1103.95115796795,1103.94900454765,694939.268469011,951260.363231421,822377.495805192,632394.7343068,865646.930540593,748363.521182725,193600.351045708,265007.819551189,229102.857046385,29630857.4926267,32098981.9843276,30857960.1610722,1648676.27842211,1786004.00519048,1716952.90731002,0.000000000645713508044695,0.000000000883881768688298,0.000000000746911187020881
"non_suspect_bite_incidence","Shandong","a2",94.0295716454584,154.61384961734,124.694636223296,24131591.3862594,32738919.9426669,28462465.5266247,4848918180.82622,5840328758.41031,5347757559.94428,1160.48726827308,1908.19917890219,1538.92154656175,1484.57418682271,2441.10150227343,1968.72559330145,18312.8414546284,30111.9624477119,24284.6494037041,6684011.96342521,9068085.44300973,7883585.34020504,5381783.72970449,7301374.52832374,6347647.4231073,1299331.82161808,1762781.40160843,1532521.68862382,2541096.46122783,5032652.16093347,3475003.36965989,161029.630308757,318919.855931708,220211.437729408,0.00000000127974893439901,0.00000000285487098069815,0.0000000019520579535221
"non_suspect_bite_incidence","Shandong","a3",14.2572385602049,14.2578705067609,14.2575434404511,23020134.9175203,31514064.9270404,27243163.7889215,6324854969.08586,7322337400.25065,6820785251.15825,174.082401888311,174.083033834867,174.08272895462,256.238419910423,256.24977757876,256.243899374922,3128.69840858095,3128.70976624928,3128.70428678478,6653218.18425441,9108111.25058971,7873746.7598039,4856849.27450572,6648921.21293048,5747835.13465685,1293345.69570995,1770562.17844714,1530609.12762532,36332403.1627663,42062479.1525371,39181286.3465409,2021553.75270495,2340378.15219517,2180067.09038253,0.000000000191128980640239,0.000000000261652374856507,0.000000000221092618628944
"non_suspect_bite_incidence","Shandong","a7",14.2572385602049,14.2578705067609,14.2575434404511,9966322.44985783,13642915.1165579,11794258.0417987,4817904395.43853,5259266590.45017,5037341721.88108,174.082401888311,174.083033834867,174.08272895462,256.238419910423,256.24977757876,256.243899374922,3128.69840858095,3128.70976624928,3128.70428678478,2880440.01440978,3943039.05102831,3408745.09878576,2102721.21051914,2878418.50725066,2488383.9221136,559940.256161175,766503.133285597,662639.594733359,27675898.6174882,30211362.7420218,28936481.8217791,1539901.35084159,1680975.8895347,1610040.85402322,0.000000000441492969345337,0.000000000604362642387945,0.000000000510694475267837
"non_suspect_bite_incidence","Tianjin","a2",16.0344952175424,26.3656883151206,21.2636226030795,3007413.66139871,4080279.19650543,3547238.69838346,617058085.268441,756718869.82581,687330067.844057,120.709716971183,198.484017565159,160.073029931714,254.632949079159,418.69562023398,337.673146726158,1903.31497667754,3129.63705611867,2523.98400817451,761525.471273515,1033192.2668068,898217.846177416,742181.359425839,1006947.33144592,875401.503014316,97865.1613643019,132777.604591875,115431.771847952,3108855.27629886,6268914.29135287,4293853.05030626,197166.020916722,397579.422795669,272319.501874012,0.00000000116831804543264,0.00000000260640024598561,0.00000000178211811992986
"non_suspect_bite_incidence","Tianjin","a3",3.67110139225054,3.67118736484139,3.67114286940462,2751117.40834496,3766234.2629567,3255815.2078402,755475098.615309,888577162.093601,821651045.000776,16.8581854497536,16.8582714223445,16.8582299451904,65.9789215047677,65.9804666483682,65.9796669535037,302.983975558419,302.985520702019,302.984775253283,705414.720088452,965701.093065821,834824.412266719,670143.984084029,917416.03841253,793083.191653383,90654.2565080071,124104.178872075,107284.954869221,44813319.2121928,52708944.5505292,48738868.0586357,2493436.30964566,2932752.99611439,2711855.88224329,0.000000000174569393892201,0.000000000238983833796814,0.000000000201937433758278
"non_suspect_bite_incidence","Tianjin","a7",3.67110139225054,3.67118736484139,3.67114286940462,1191045.09668527,1630437.83827829,1409503.24639356,554390624.060824,613285114.025067,583671902.715897,16.8581854497536,16.8582714223445,16.8582299451904,65.9789215047677,65.9804666483682,65.9796669535037,302.983975558419,302.985520702019,302.984775253283,305396.17863725,418060.98417392,361411.088818861,290126.369705387,397157.934965224,343340.534377918,39247.0737090303,53725.8531981588,46445.6618462895,32885377.7574145,36379070.3247976,34622371.6614103,1829759.46433446,2024150.32971544,1926406.70551176,0.000000000403247040215079,0.000000000552013175068858,0.000000000466455802457121
"p_prevent","China","a2",2019.04209695999,3393.99902142337,2713.13891712863,329549430.562563,329795764.21949,329674345.674327,67148482543.0552,67177186430.3728,67163038204.4173,15205.3355750398,25537.4115830172,20447.4245043539,32068.8460046333,53898.4051488042,43090.2282849259,239750.785518575,402665.347357397,322404.507064279,83863210.7370963,83925897.3311752,83894998.934467,80911504.5441853,80971984.7785697,80942173.9026963,14434955.1481227,14445745.0781285,14440426.6915951,2629416.15381686,4418000.91151208,3284669.82187004,166760.022891803,280195.897106532,208319.166552553,0.00000000181175728333757,0.00000000304512686296673,0.00000000243726381358275
"p_prevent","China","a3",418.921868373893,429.636294434497,424.09017266212,303955744.428341,303955744.428341,303955744.428341,86234841993.3553,86234841993.3553,86234841993.3553,2186.7834798381,2197.4979058987,2192.32960161047,7529.0791568213,7721.64432951883,7621.96657815273,39301.9967719503,39494.5619446478,39401.6745233163,79569566.6042777,79569566.6042777,79569566.6042777,72408305.6098927,72408305.6098927,72408305.6098927,13695911.6517613,13695911.6517613,13695911.6517613,39242286.3120264,39434558.9256692,39334797.9838468,2183461.158886,2194159.30680908,2188608.55627659,0.000000000274826616904123,0.000000000276173165153392,0.000000000275523632359789
"p_prevent","China","a7",418.921868373893,429.636294434497,424.09017266212,131595800.479033,131595800.479033,131595800.479033,66209057612.384,66209057612.384,66209057612.384,2186.7834798381,2197.4979058987,2192.32960161047,7529.0791568213,7721.64432951883,7621.96657815273,39301.9967719503,39494.5619446478,39401.6745233163,34449162.4290662,34449162.4290662,34449162.4290662,31348737.8104502,31348737.8104502,31348737.8104502,5929562.08310301,5929562.08310301,5929562.08310301,30129292.6990557,30276915.0319747,30200320.9570984,1676409.46885743,1684623.25200833,1680361.51796554,0.000000000634785674206412,0.00000000063789588801282,0.000000000636395618071897
