"region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Guangxi","a3",3.43275802463641,42.4765070141084,15.0382857124153,19145032.6032431,26382524.9437269,22822769.8168126,3899291328.46873,4697412154.91776,4304858637.36434,17.7294902042991,219.855543825827,77.9537033127701,63.2136927570943,740.155146880419,270.497898439319,326.47149823493,3831.37503765938,1402.19144880733,5202454.51175083,7169164.38688231,6201839.62413386,4370061.7898707,6022098.08498115,5209545.28427244,561131.541182933,773258.901604739,668924.220019454,17735697.0882564,264949082.054188,55223272.9738593,1017726.34893264,14388429.557601,3070093.34640142,0.0000000000247302045922387,0.00000000042259964662687,0.00000000012569448427757
"Guangxi","a4",3.18338467407606,35.3768840195014,13.2426119384513,20800659.0034368,28663990.0370196,24796413.2486445,4041956907.94332,4894007147.01431,4474928395.47569,17.981544649689,226.983299146984,79.749377086734,58.6401685466082,620.707082713641,238.945037264873,331.094681780947,3951.27215017859,1433.74430998177,5457801.0678818,7521034.95097973,6506234.80227212,4942528.43383659,6810960.06753004,5891971.82205014,588672.965380663,811211.308777723,701755.979538268,17807287.6865092,272168339.392298,56112393.0862662,1022950.77491958,14781291.9274016,3121148.14637527,0.0000000000239083381035832,0.00000000041588782061468,0.000000000122573776554888
"Guangxi","a5",91.4231147271234,177.940986991351,131.260700731393,9602998.54782942,13199053.4433321,11390790.2703545,2080720403.81477,2477268696.49546,2277865824.51513,473.452692831229,929.220076987873,680.60726129111,1442.73982223006,2808.07046123509,2071.41312789706,7471.51369682022,14663.9371529566,10740.6010186207,2609510.47495365,3586699.30525329,3095323.44303112,2191988.79896106,3012827.41641277,2600071.69214614,281459.190318025,386857.800365315,333858.491241894,2239211.63063927,5232346.8300106,3346813.87353116,141893.70713412,331561.822278363,212079.921837339,0.00000000132002337675138,0.00000000356089805312768,0.000000002198824367849
"Guangxi","a6",67.8919095952582,131.792815656174,97.29065591125,10433474.8937537,14340519.9986671,12375876.5258411,2152282464.46417,2575628751.25564,2362750605.04623,497.240308392747,975.281635492555,714.577306111252,1081.79395818326,2100.17727317596,1550.41702835418,7836.27545486074,15370.5156245721,11261.5971181636,2737594.21466159,3762746.83011822,3247252.55233917,2479143.23221528,3407513.16921532,2940685.7105814,295274.174399185,405846.110349721,350245.413042751,2206831.73571415,5179847.06344698,3306501.038921,140026.692469797,328680.221374558,209805.99645457,0.00000000132148223317252,0.00000000356255003122555,0.0000000022005596872855
"Guangxi","a7",3.43275802463641,42.4765070141084,15.0382857124153,3238283.7980086,10726006.4112955,5802528.17113215,2167628665.67972,3004229459.0462,2467515125.11602,17.7294902042991,219.855543825827,77.9537033127701,63.2136927570943,740.155146880419,270.497898439319,326.47149823493,3831.37503765938,1402.19144880733,879968.423371901,2914675.65524334,1576773.95954678,739173.475632397,2448327.5504044,1324490.1260193,94912.51417647,314374.001498892,170069.262502756,9859331.39533182,169448158.092991,31653597.2026335,565757.370232266,9202118.63911116,1759756.22103161,0.0000000000608283469634252,0.00000000249844810321005,0.000000000494387307963766
"Guangxi","a8",3.18338467407606,35.3768840195014,13.2426119384513,3439977.665121,11569460.1215806,6184410.93133824,2185815563.183,3080268359.65141,2503064357.37978,17.981544649689,226.983299146984,79.749377086734,58.6401685466082,620.707082713641,238.945037264873,331.094681780947,3951.27215017859,1433.74430998177,912168.575678997,3051199.04120152,1640222.59487929,807820.256881502,2733531.01958877,1451982.87078983,98385.590404161,329099.277384955,176912.768861086,9629851.93799463,171301655.094725,31386632.0818718,553192.865514009,9303285.52268721,1745823.39399945,0.0000000000589327159810856,0.00000000248839200558979,0.000000000486210696863391
"Guizhou","a1",70.7532274011354,133.675010280004,101.205617170244,8644573.1239302,11985562.3865647,10314307.8413408,1911313746.0812,2346457049.78681,2128786423.82158,367.310084880315,701.815432672252,530.193604322852,1116.55021852834,2109.51312642907,1597.11659974281,5796.48689685353,11075.2852343269,8366.93683826938,2205248.24590056,3057541.42514404,2631200.97993388,2117038.31606454,2935239.76813828,2525952.94073652,442196.37826798,613098.206569884,527608.420496341,2723385.17664627,6388218.41919039,4015111.47336529,172574.674660049,404806.754770812,254428.408504862,0.00000000120132496606488,0.00000000318247813586016,0.00000000201502510969792
"Guizhou","a2",52.6814424748586,99.0616549672328,75.080719999617,9136438.61078113,12667526.0178436,10901179.162247,1970679843.64171,2428767194.63233,2199619326.36053,385.422623796662,736.370761048644,556.318501493479,839.228154721641,1578.40151175521,1196.21786478555,6074.43687736538,11605.5440028269,8767.83557322665,2313489.40661826,3207616.06341454,2760349.36432961,2254729.8987723,3126146.94550725,2690240.21679389,463900.895815095,643191.173035883,553505.254535374,2676205.99280086,6301568.83554838,3953884.90667754,169805.038278404,399834.131733663,250873.697161619,0.00000000120158590110805,0.00000000318294416625418,0.00000000201539163369122
"Guizhou","a3",2.64458389487681,32.7809483476716,11.5729966412477,8734234.32939483,11903470.9900816,10299725.8325301,2512071718.86317,2924853297.30335,2715971596.99284,13.9661945691949,171.599390438179,60.6332560790843,48.7137673014524,569.332008533331,207.928973939253,257.266884512463,2979.72479336496,1089.37241085152,2228121.00239664,3036599.74236776,2627481.07972707,2138996.16230077,2915135.75267304,2522381.83653799,446782.823400575,608898.980339582,526862.506106873,14639164.582395,209423782.750004,44793431.4042178,843054.944019284,11368945.9210661,2493152.54355474,0.0000000000459928727989184,0.000000000770152923712856,0.000000000230765719102276
"Guizhou","a4",2.44736046897354,27.1365719450001,10.1631449402077,9231164.39522772,12580714.9582786,10885728.3536425,2572049392.71687,3006594288.83251,2786700190.09539,14.162830812603,177.244055732333,62.0431077801244,45.0947014720912,474.762449493848,183.214780666968,260.875459206088,3074.26799882838,1114.08660412381,2337475.93171772,3185634.67402278,2756437.34602234,2278106.26589614,3104722.80511652,2686426.83079891,468710.673828038,638783.464835047,552720.8166244,14511343.5939486,212287665.411992,44915548.0729822,836637.987871288,11525017.7152821,2501331.74546788,0.00000000004445842747787,0.000000000758271147639511,0.000000000225084411476485
"Guizhou","a5",70.7532274011354,133.675010280004,101.205617170244,4327356.07964674,5998470.09342775,5163426.97930012,1349022777.81228,1566675100.42177,1457915870.48914,367.310084880315,701.815432672252,530.193604322852,1116.55021852834,2109.51312642907,1597.11659974281,5796.48689685353,11075.2852343269,8366.93683826938,1103917.36725682,1530221.96260912,1317200.76002554,1059760.67256655,1469013.08410475,1264512.72962452,221357.510482338,306840.10794238,264125.096400321,1922190.24405848,4265265.68398539,2749780.19086282,121804.788704774,270280.107296058,174247.266194338,0.0000000024003712785172,0.00000000635749969598022,0.0000000040251541026485
"Guizhou","a6",52.6814424748586,99.0616549672328,75.080719999617,4573577.27233898,6339775.60042777,5457219.56900682,1378740641.20709,1607869241.03173,1493375401.61985,385.422623796662,736.370761048644,556.318501493479,839.228154721641,1578.40151175521,1196.21786478555,6074.43687736538,11605.5440028269,8767.83557322665,1158101.42448949,1605330.5140823,1381853.498976,1128687.21168,1564557.28613158,1346756.28552741,232222.497638633,321900.874683784,277089.263614667,1872345.71786048,4171704.36232616,2684389.24395067,118800.173509424,264694.369781499,170324.293737898,0.00000000240089265366634,0.00000000635843066485518,0.00000000402588626005383
"Guizhou","a7",2.64458389487681,32.7809483476716,11.5729966412477,1483778.43676172,4866375.86607467,2649475.58130557,1579912898.10268,2025460950.47612,1740492340.06753,13.9661945691949,171.599390438179,60.6332560790843,48.7137673014524,569.332008533331,207.928973939253,257.266884512463,2979.72479336496,1089.37241085152,378514.907337173,1241422.41481497,675886.627884074,363374.311043686,1191765.51822237,648851.162768712,75899.80921925,248930.022618697,135528.786623315,9206984.32592549,145025972.568338,28705242.842268,530221.080020787,7872995.2139565,1597701.87194942,0.000000000112501549855425,0.00000000453349094347088,0.000000000897092109499227
"Guizhou","a8",2.44736046897354,27.1365719450001,10.1631449402077,1548894.54263936,5132424.79621042,2776632.02619017,1587998742.11135,2058386422.11158,1756550663.2202,14.162830812603,177.244055732333,62.0431077801244,45.0947014720912,474.762449493848,183.214780666968,260.875459206088,3074.26799882838,1114.08660412381,392361.469428506,1299670.12537838,703223.413958327,382085.801891175,1266542.27272683,685092.599136759,78676.321849804,260609.853540873,141010.358966924,8959390.68619308,145337217.491852,28311777.5054929,516545.318338072,7890303.01422675,1576673.35440378,0.000000000108972504145847,0.00000000451736649856313,0.000000000882267378312876
"Hunan","a1",188.673761006872,362.557178003217,269.630572395742,17974259.285894,24509466.2456847,21313874.9074107,3745553682.71083,4615532005.33384,4190129227.82924,568.394831168523,1093.24582504684,813.172617368825,2977.4433815566,5721.48169581568,4255.01542430048,8969.78689109858,17252.4124649297,12832.6027674812,4538954.36512476,6189259.15295069,5382291.64328552,4448175.27782226,6065473.96989168,5274645.81041981,1049369.93758192,1430907.20208898,1244342.76959447,3426085.51242384,8120292.00871706,5152816.43568767,217103.184283631,514564.28802274,326522.164190054,0.000000000918356813185863,0.00000000240858518747587,0.00000000151082971949925
"Hunan","a2",140.080223791953,269.381255966204,199.898167957356,19515615.0628394,26611238.941109,23141614.437317,3939507297.3648,4880004632.32623,4420119405.16118,617.136681793032,1186.99548950236,882.905021807211,2252.48335219302,4331.14933538239,3214.82573864571,9696.86307164441,18650.8646592232,13872.792453136,4928185.62192915,6720009.83361339,5843842.02962549,4829621.90949057,6585609.63694112,5726965.18903298,1139357.09030504,1553612.51345275,1351049.52651317,3318889.86285567,7907494.03867526,5006336.23774579,211223.842397925,503256.011379221,318617.857226142,0.00000000091835681356614,0.0000000024085851884729,0.00000000151082972012471
"Hunan","a3",7.31557046300481,85.5827241291793,31.4012177763322,18056933.5907807,24538300.1035175,21300754.9665731,4771215495.46086,5634004807.93038,5203015894.2254,22.0258158163561,256.732227718744,94.6982701347389,134.657091100709,1488.80705518722,564.181258384544,405.422681641849,4466.01238731254,1701.42323879985,4559831.71484363,6196540.43018118,5378978.52691241,4468635.08054676,6072609.62157756,5271398.95637416,1054196.61381813,1432590.57513445,1243576.80359393,18584404.2170188,255790970.691158,54943093.3302417,1068339.06440013,13896619.6590537,3058037.39808768,0.0000000000355453435098657,0.000000000563030049734079,0.000000000176052515660621
"Hunan","a4",6.9654513150343,74.846528409351,28.8541576874691,19605171.9296125,26642406.4184686,23127235.7711093,4966037312.34324,5898772842.49688,5432848987.10096,22.3767319899967,267.431403669413,97.2453302236021,128.24058963005,1310.83867834701,519.725035729878,411.853945633638,4643.32689063947,1745.87946145451,4950800.99232639,6727880.40870418,5840211.05331043,4851784.97247986,6593322.8005301,5723406.83224422,1144585.58301792,1555432.12744914,1350210.07383694,18569387.305322,263611900.304918,55867453.7338593,1069499.82831369,14322487.1463149,3111812.18809618,0.0000000000332597053316329,0.000000000540178052165547,0.000000000166509958862668
"Hunan","a5",188.673761006872,362.557178003217,269.630572395742,8996093.271795,12262878.8590461,10666634.2963495,2550364324.93953,2985244606.93407,2772749704.21751,568.394831168523,1093.24582504684,813.172617368825,2977.4433815566,5721.48169581568,4255.01542430048,8969.78689109858,17252.4124649297,12832.6027674812,2271740.72520076,3096686.58056719,2693594.51928017,2226305.91069674,3034752.84895584,2639722.62889457,525208.281740613,715929.163934489,622737.504101422,2332837.01296573,5252061.49534631,3409792.26918544,147826.533252892,332811.096091542,216070.71881348,0.00000000183549357153353,0.00000000481237058841841,0.00000000301891250352757
"Hunan","a6",140.080223791953,269.381255966204,199.898167957356,9767539.8228846,13314463.7322118,11581335.5995746,2647437855.48585,3117568818.07115,2887849427.94299,617.136681793032,1186.99548950236,882.905021807211,2252.48335219302,4331.14933538239,3214.82573864571,9696.86307164441,18650.8646592232,13872.792453136,2466550.46032439,3362238.3162151,2924579.69686226,2417219.45111791,3294993.5498908,2866088.10292502,570246.734023317,777322.600802402,676139.429276981,2230368.92633498,5051666.68915765,3270849.47600805,141947.191396118,321502.819523929,208166.411895695,0.00000000183549357229308,0.00000000481237059040849,0.00000000301891250477621
"Hunan","a7",7.31557046300481,85.5827241291793,31.4012177763322,3598853.27220461,9963015.80940251,5472540.32586252,2879645083.90522,3731151047.76382,3140659369.12859,22.0258158163561,256.732227718744,94.6982701347389,134.657091100709,1488.80705518722,564.181258384544,405.422681641849,4466.01238731254,1701.42323879985,908801.331364801,2515913.08318245,1381954.62774306,890625.304737505,2465594.8215188,1354315.5351882,210107.597400891,581658.977527117,319496.854297173,11216531.3622407,169398994.292557,33164907.4968316,644791.109869284,9203113.72973435,1845901.30045711,0.0000000000875460124739087,0.00000000282495435314992,0.000000000685248764566139
"Hunan","a8",6.9654513150343,74.846528409351,28.8541576874691,3801149.4054496,10690076.2280327,5795792.80214193,2906247896.30798,3825797106.71855,3183560621.23671,22.3767319899967,267.431403669413,97.2453302236021,128.24058963005,1310.83867834701,519.725035729878,411.853945633638,4643.32689063947,1745.87946145451,959886.213497374,2699514.19899816,1463584.04094493,940688.489227427,2645523.9150182,1434312.36012604,221918.013470885,624106.086694784,338368.921594141,10867264.8628078,170972111.049497,32737413.8574733,625897.759248163,9289208.34018611,1823471.03080326,0.0000000000828916995446852,0.00000000278607401490869,0.000000000664432840910301
"Shaanxi","a1",71.4006408599427,142.479648366518,102.79577302326,6164985.19191197,8354194.89069588,7255040.00201889,1738878258.85843,2070445691.89095,1903972847.76497,373.738733002412,741.706031987393,536.912833908914,1126.76699221099,2248.45831784807,1622.21070548408,5897.93681101441,11704.7951489193,8472.97239431968,1613870.4690869,2186962.01327117,1899225.13141856,1468622.12686908,1990135.43207676,1728294.86959089,449601.718501044,609256.999429163,529097.53246137,2344430.52080772,5539821.02753473,3546148.88585059,148561.186824272,351045.756886439,224711.324333053,0.00000000170894021356772,0.00000000459582132639825,0.00000000282700994751415
"Shaanxi","a2",52.8957536903616,105.377014448904,76.0881339296104,6638129.76157218,8995354.8973105,7811843.08795874,1793369416.80383,2144286867.35604,1968098797.5189,392.247613672882,778.692829385911,563.620473002563,842.846406879783,1679.31441982311,1212.45641716206,6181.91579767725,12272.1938800397,8882.72668264169,1693084.77663282,2294305.62282909,1992445.62621106,1625980.10415327,2203371.82582616,1913475.91776831,471669.715583032,639161.426241464,555067.457223634,2303051.1507575,5466666.44387615,3491886.63611578,146132.748091658,346864.457157718,221564.714060705,0.00000000170965720420981,0.00000000459925480479815,0.00000000282878722303893
"Shaanxi","a3",2.71451507996442,33.4137850274917,11.7536069878595,6143028.95877242,8428293.244159,7233111.98279437,2339445730.51404,2685545033.67908,2504550226.35042,14.0866321443612,174.300454293869,61.3746039985717,50.0094415537839,580.31856312845,211.03358703514,259.516496968856,3026.5748460602,1101.95075609335,1608122.76407655,2206359.48799974,1893484.81224983,1463391.71530966,2007787.13407976,1723071.17914735,448000.488353029,614660.864323895,527498.359905433,13421914.130928,190644932.454923,40807598.9607804,772968.074309934,10348263.2705287,2272833.16654691,0.000000000063845589175189,0.00000000108387529974404,0.000000000324135707883743
"Shaanxi","a4",2.51680517821505,27.6191093126048,10.3058837414047,6614437.91283214,9075122.56178043,7788172.00619264,2393737698.01873,2760039308.74562,2568476424.53646,14.2843473333829,180.095962439196,62.8223272450264,46.3809460277663,483.246347724096,185.690510326446,263.145090425925,3123.65699625454,1127.29383280205,1687046.84950962,2314652.34036938,1986413.98762396,1620172.10690644,2222908.94052084,1907672.01547235,469987.633617488,644829.736894143,553387.12715621,13291456.7633736,193221240.307937,40884770.3861497,766325.400288499,10488659.7134616,2278444.49228659,0.0000000000617127120313168,0.0000000010675219985239,0.000000000316259992309916
"Shaanxi","a5",71.4006408599427,142.479648366518,102.79577302326,3089391.00038171,4183895.54315192,3633713.16446756,1273063187.92116,1438831712.46691,1355503669.885,373.738733002412,741.706031987393,536.912833908914,1126.76699221099,2248.45831784807,1622.21070548408,5897.93681101441,11704.7951489193,8472.97239431968,808741.099576365,1095260.61339056,951233.812687843,735954.400614492,996687.158185406,865622.769545937,225303.947966581,305124.273242021,265000.422941456,1716398.59057098,3849833.01277907,2524625.19850095,108764.243348479,243955.091173559,159979.710401716,0.00000000341232696979254,0.00000000917111832669211,0.00000000564438339709342
"Shaanxi","a6",52.8957536903616,105.377014448904,76.0881339296104,3326492.71755898,4504997.2805668,3912590.01460471,1300369740.60804,1475812387.32205,1387621384.98235,392.247613672882,778.692829385911,563.620473002563,842.846406879783,1679.31441982311,1212.45641716206,6181.91579767725,12272.1938800397,8882.72668264169,848436.891409541,1149019.76738323,997923.636455911,814809.467369948,1103478.87290017,958371.370846445,236362.639830218,320100.820916225,278007.554185706,1669939.27712617,3762450.90060081,2461978.31954206,105960.65816097,238730.587025557,156215.702065222,0.0000000034137586211087,0.00000000917796995003645,0.00000000564793188990132
"Shaanxi","a7",2.71451507996442,33.4137850274917,11.7536069878595,1040302.98711126,3422217.98573214,1863573.83289909,1576486458.604,1941839064.84886,1708433470.42078,14.0866321443612,174.300454293869,61.3746039985717,50.0094415537839,580.31856312845,211.03358703514,259.516496968856,3026.5748460602,1101.95075609335,272330.624898235,895868.582652394,487846.553114944,247820.868657394,815240.410213678,443940.363334599,75867.4994678996,249576.4449668,135907.21984608,9044649.16623835,137849774.520177,27836162.828204,520881.372108201,7482526.49650204,1550371.88456364,0.000000000157239939173388,0.00000000640032513269493,0.00000000125807189999989
"Shaanxi","a8",2.51680517821505,27.6191093126048,10.3058837414047,1098992.85976908,3670648.90712777,1978567.50230406,1583540222.58552,1971376001.4133,1722556516.96504,14.2843473333829,180.095962439196,62.8223272450264,46.3809460277663,483.246347724096,185.690510326446,263.145090425925,3123.65699625454,1127.29383280205,282299.714835184,937822.641273277,507588.897030947,267196.715049356,897501.81229061,481694.854121081,78644.7483570746,261264.258341757,141407.160468263,8792758.0448682,138009525.769941,27419495.4645112,506950.738984557,7491593.31919301,1528045.72050517,0.000000000152313952603971,0.000000006379601288097,0.00000000123766157243578
