"year","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2024,"suspect_bite_incidence","a3",57.8488688161173,239.202783204728,141.813485006161,23509767.2021946,23531429.242455,23519796.4474543,7824382328.22734,7827387326.39808,7825773603.62417,299.003556912422,1236.3700315281,732.991661833645,1029.60279599302,4257.36681523984,2524.01755920209,5321.70990564154,22005.0982395123,13045.894931194,6154389.31994622,6160060.01111387,6157014.77682051,5600494.28115106,5605654.61011362,5602883.44690666,1059324.26169574,1060300.32941297,1059776.16846023,6328511.79558009,26178241.5139988,10676483.8007124,355571.34274356,1470840.66309219,599864.834486131,4.85390655891283e-10,2.00892398457969e-09,1.19049846135364e-09
2024,"suspect_bite_incidence","a7",57.8488688161173,239.202783204728,141.813485006161,11758338.5117498,11780000.5520102,11768367.7570095,6194202470.10098,6197207468.27172,6195593745.49782,299.003556912422,1236.3700315281,732.991661833645,1029.60279599302,4257.36681523984,2524.01755920209,5321.70990564154,22005.0982395123,13045.894931194,3078099.08684549,3083769.77801314,3080724.54371978,2801070.1690294,2806230.49799196,2803459.334785,529817.805323281,530793.873040511,530269.712087767,5009990.78928271,20726199.8227228,8452475.06635884,281489.425890346,1164514.33433117,474907.530543078,9.69604018575827e-10,4.01666741922582e-09,2.37928335179426e-09
2025,"non_suspect_bite_incidence","a2",134.736493709407,221.548580542989,178.675963657817,21041023.3231294,28546848.411188,24817666.9645907,5346378245.30494,6349593643.27522,5851157801.09132,884.004848178441,1453.57673134535,1172.27806781363,2327.18682239161,3826.61685015491,3086.11525099796,15268.6505116284,25106.3726047206,20247.7442932308,5422944.15544572,7357435.15752267,6396305.91870893,5097567.50611898,6915989.04807131,6012527.5635864,933424.262756095,1266398.52648859,1100964.15625777,3678084.63771749,7182758.84612968,4991271.23652844,212949.051998842,415858.208191972,288978.254384982,1.20151225155492e-09,2.68041987835274e-09,1.83274234020729e-09
2025,"non_suspect_bite_incidence","a3",82.5539192472272,82.5558998867852,82.5548747993549,19925765.245422,27275467.1171543,23579904.5149626,7117072291.5559,8106503812.5482,7608999806.23305,426.700518842913,426.702499482471,426.701543930343,1425.88238508922,1425.91659496178,1425.89888951395,7370.02869245332,7370.06290232588,7370.04639790115,5216168.91241413,7140174.6379985,6172749.87302687,4746713.71029686,6497558.92057864,5617202.38445445,897833.074049282,1229002.55956549,1062484.57189475,16679237.4082362,18998110.9808131,17832135.6331328,965673.208746951,1099928.39252431,1032422.2393498,5.97605157403438e-10,8.18038116953897e-10,6.91266538751077e-10
2025,"non_suspect_bite_incidence","a7",82.5539192472272,82.5558998867852,82.5548747993549,9967813.051165,13642663.9870312,11794882.6859353,5776512911.39562,6271228671.89177,6022476668.7342,426.700518842913,426.702499482471,426.701543930343,1425.88238508922,1425.91659496178,1425.89888951395,7370.02869245332,7370.06290232588,7370.04639790115,2609375.14428403,3571378.00707622,3087665.6245904,2374531.38129847,3249953.98643936,2809775.71837726,449138.696709889,614723.439467994,531464.445632623,13537565.2085509,14697026.1224371,14114025.9612403,783780.679751409,850909.668548959,817155.868984663,1.19477836845459e-09,1.63526697346368e-09,1.38195515904332e-09
2025,"p_prevent","a2",133.367362713963,223.529381835457,178.984387171588,24770867.8340089,24784846.7110939,24777956.4836689,5844902711.49619,5846771103.65475,5845850167.95917,873.726933064799,1467.63396676285,1174.87116480743,2303.5390078834,3860.82951621663,3091.44238336726,15091.1289808566,25349.1710635657,20292.5326129132,6384244.28711571,6387847.09048813,6386071.25867754,6001189.62988877,6004576.26505884,6002906.98315689,1098888.04791979,1099508.18045027,1099202.51539987,3982534.36746785,6691760.18546875,4975737.20682586,230575.694046937,387430.994133806,288078.884950966,1.36779562924389e-09,2.29883742031102e-09,1.83974014259704e-09
2025,"p_prevent","a3",81.5383878815679,83.6238293302299,82.5443396629327,23546797.3845717,23546797.3845717,23546797.3845717,7604542858.32549,7604542858.32549,7604542858.32549,425.632589399468,427.71803084813,426.712079066765,1408.3419908959,1444.36201579475,1425.71692522218,7351.58327162035,7387.60329651919,7370.22836219292,6164083.0849664,6164083.0849664,6164083.0849664,5609315.60731943,5609315.60731943,5609315.60731943,1060992.80099984,1060992.80099984,1060992.80099984,17779336.6420543,17866448.7816942,17821250.5138287,1029365.35072322,1034408.85824985,1031792.02659914,6.90504302963639e-10,6.93887517336184e-10,6.92255560453873e-10
2025,"p_prevent","a7",81.5383878815679,83.6238293302299,82.5443396629327,11778329.1207398,11778329.1207398,11778329.1207398,6020248194.78042,6020248194.78042,6020248194.78042,425.632589399468,427.71803084813,426.712079066765,1408.3419908959,1444.36201579475,1425.71692522218,7351.58327162035,7387.60329651919,7370.22836219292,3083332.23056017,3083332.23056017,3083332.23056017,2805832.32980975,2805832.32980975,2805832.32980975,530718.560185169,530718.560185169,530718.560185169,14075273.3356664,14144236.9421817,14108455.0686892,814912.218908258,818904.985817225,816833.332554864,1.38043051339343e-09,1.38719410970002e-09,1.38393156221521e-09
2025,"p_transmission","a2",121.535823163496,237.978502726288,177.965153852287,24771187.3219924,24785014.6208327,24777819.3131058,5844945413.69891,5846793546.17551,5845831833.98263,797.378933294975,1561.37064139023,1167.61455334239,2099.18306709547,4110.39667361059,3073.83804853326,13772.4360708014,26968.2035020835,20167.195444699,6384326.62937948,6387890.36619399,6386035.90543963,6001267.03161671,6004616.94422235,6002873.75111326,1098902.22108194,1099515.62928114,1099196.4302238,3743470.80619795,7332515.69867171,5006645.2300106,216734.696964421,424528.639386548,289868.358246076,1.24826646605406e-09,2.44563088956805e-09,1.82838707866928e-09
2025,"p_transmission","a3",65.6430364497514,101.038373094126,82.7276522521502,23546797.3845717,23546797.3845717,23546797.3845717,7604542858.32549,7604542858.32549,7604542858.32549,339.28967974436,522.238636182434,427.594580580714,1133.79534528415,1745.14835548315,1428.88312489282,5860.25693512175,9020.17589153479,7385.47104691374,6164083.0849664,6164083.0849664,6164083.0849664,5609315.60731943,5609315.60731943,5609315.60731943,1060992.80099984,1060992.80099984,1060992.80099984,14561432.8995547,22413127.5199858,17784469.6908876,843059.265115014,1297646.66336554,1029662.53743602,5.50430088413075e-10,8.47228418215392e-10,6.93687243806909e-10
