"region","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"China","suspect_bite_incidence","a3",286.912867892743,908.709046904056,537.962773484997,307797517.392759,307871788.160526,307827503.965348,88683196225.7552,88692663989.9203,88687260500.4452,1482.98140357782,4696.84208176122,2780.5692654378,5188.95370632989,15358.6944345847,9554.57922567029,26820.4138316658,79384.3313117047,49384.7729063711,80575266.333183,80594708.942546,80583116.2212953,73323492.3631965,73341185.1377169,73330635.7613787,13869017.7175991,13872364.2767357,13870368.8795904,18881451.5544667,59806996.753932,31895360.9977709,1117137.28339587,3306908.85482178,1795842.22587371,1.84004809128972e-10,5.82913627904069e-10,3.45056060850498e-10
"China","suspect_bite_incidence","a7",286.912867892743,908.709046904056,537.962773484997,59027563.4590531,125339291.720323,84003770.1256649,59338093749.0057,67268689033.2265,62471976755.5609,1482.98140357782,4696.84208176122,2780.5692654378,5188.95370632989,15358.6944345847,9554.57922567029,26820.4138316658,79384.3313117047,49384.7729063711,15452241.7432076,32811332.9110792,21990515.7397029,14061539.9863189,29858312.9490821,20011369.3231296,2659717.11004961,5647650.67731951,3785117.52169635,12633614.8237615,45360440.0371676,22467333.4097738,747478.661954247,2508115.25338229,1265004.84013568,4.51972313223847e-10,3.03958620361724e-09,1.26444022429979e-09
"Guangxi","non_suspect_bite_incidence","a2",57.0745905608377,93.8483395906858,75.6875387090482,24531965.4375308,33292052.5787213,28939741.0872643,3747422411.6353,4710472482.51981,4231996204.50992,416.37782937531,684.653621604033,552.158244242466,888.135955027972,1460.37111479207,1177.77125967882,6406.03464271941,10533.4974906341,8495.03651801139,6419855.02437165,8712312.57696821,7573341.10453518,5846127.69439376,7933713.71239245,6896529.43909698,692439.143073702,939701.322239214,816852.99819406,5473457.37083182,11312976.2206286,7664462.58593135,355762.406073324,735317.98456216,498172.808973468,4.77918836929752e-10,1.06646274566153e-09,7.29081440570284e-10
"Guangxi","non_suspect_bite_incidence","a3",19.3294517781892,19.3299108038159,19.3296732333815,22419019.1569633,30691645.7654336,26532019.9670401,4350066010.69422,5276884419.27882,4810863414.67708,99.3183484569013,99.3188074825281,99.3185860273357,343.059291248567,343.067438039692,343.063221637396,1762.7029788837,1762.71112567482,1762.70719528599,6092124.77091395,8340121.13191129,7209788.03452178,5117384.80756772,7005701.75080549,6056221.94899829,657090.485666008,899557.12516682,777640.527615484,43799015.7247858,53131012.5597659,48438702.2319566,2467826.94415052,2993632.21285337,2729247.05109434,1.19085019133458e-10,1.63028190027743e-10,1.37755209378945e-10
"Guangxi","non_suspect_bite_incidence","a7",19.3294517781892,19.3299108038159,19.3296732333815,9820103.07549031,13443265.8534751,11621474.2900008,2963020238.18333,3377955019.40327,3169318330.92443,99.3183484569013,99.3188074825281,99.3185860273357,343.059291248567,343.067438039692,343.063221637396,1762.7029788837,1762.71112567482,1762.70719528599,2668506.27051367,3653061.37322694,3158009.317935,2241545.26723148,3068571.55351063,2652727.8270654,287822.417831334,394015.546654884,340619.727023151,29833425.4436611,34011389.3543962,31910626.7788803,1680944.87804914,1916349.5267606,1797983.43105431,2.7187703219223e-10,3.72188773097429e-10,3.14497444523943e-10
"Guangxi","p_prevent","a2",56.3833971052078,94.6207617510567,75.8116832105111,28890072.3628066,28896560.4866992,28893362.472373,4226535817.20568,4227249096.43156,4226897519.11573,411.546949429799,691.420459991913,553.382559697735,877.485544803596,1472.04510260774,1179.70893864317,6331.78195308246,10637.9764099435,8513.87367629459,7560343.12395853,7562041.02357758,7561204.12412929,6884693.05744477,6886239.21977204,6885477.11205722,815451.049007043,815634.182762054,815543.915624461,6112830.12547115,10271608.3846289,7638291.8923656,397306.372408859,667623.921315489,496471.721313507,5.44227343050167e-10,9.14535820207444e-10,7.31870943586594e-10
"Guangxi","p_prevent","a3",19.0733483624116,19.5927410646676,19.3273156668774,26494755.4721555,26494755.4721555,26494755.4721555,4806688510.92761,4806688510.92761,4806688510.92761,99.0555181960497,99.5749108983056,99.3209435938399,338.513965426025,347.732151971629,343.021379524993,1758.03826495176,1767.25645149736,1762.7490373984,7199661.81308575,7199661.81308575,7199661.81308575,6047715.92299203,6047715.92299203,6047715.92299203,776548.323497615,776548.323497615,776548.323497615,48272084.4795594,48525196.763034,48395517.9743755,2719859.0826221,2734120.52897467,2726813.86229642,1.37583570961641e-10,1.38304983599818e-10,1.37952234663744e-10
"Guangxi","p_prevent","a7",19.0733483624116,19.5927410646676,19.3273156668774,11605153.5569137,11605153.5569137,11605153.5569137,3167449234.71544,3167449234.71544,3167449234.71544,99.0555181960497,99.5749108983056,99.3209435938399,338.513965426025,347.732151971629,343.021379524993,1758.03826495176,1767.25645149736,1762.7490373984,3153574.33611784,3153574.33611784,3153574.33611784,2649002.44233899,2649002.44233899,2649002.44233899,340141.374319335,340141.374319335,340141.374319335,31809711.9660023,31976504.6147804,31891050.5690353,1792297.4518111,1801695.27470573,1796880.42229211,3.14105543863571e-10,3.15752540721414e-10,3.14947209128126e-10
"Guangxi","p_transmission","a2",51.4829144740925,100.808104448637,75.3864376365113,28890220.6492252,28896638.4199396,28893298.806343,4226552119.24054,4227257664.11034,4226890519.91884,375.575846441682,735.425953760212,549.961668299516,801.123792146724,1568.67176014166,1173.0858367416,5778.2901599509,11314.6373610676,8461.24187097349,7560381.92954514,7562061.41819724,7561187.46314533,6884728.39506746,6886257.79177255,6885461.94002618,815455.234538809,815636.382505336,815542.118587392,5747080.44722966,11255403.4136131,7685791.1442963,373547.289618282,731575.872289919,499559.11725196,4.96658021763619e-10,9.72736510686383e-10,7.27348278269959e-10
"Guangxi","p_transmission","a3",15.3698792481877,23.6574616018244,19.3701279219792,26494755.4721555,26494755.4721555,26494755.4721555,4806688510.92761,4806688510.92761,4806688510.92761,78.9726957830488,121.555695205024,99.5264482639357,272.78476089058,419.872850145696,343.781211829629,1401.60814461855,2157.37161730146,1766.39633620854,7199661.81308575,7199661.81308575,7199661.81308575,6047715.92299203,6047715.92299203,6047715.92299203,776548.323497615,776548.323497615,776548.323497615,39543095.8855553,60865194.7773492,48295589.7128036,2228029.91954629,3429409.66016986,2721183.46964242,1.0968945185663e-10,1.68835284713083e-10,1.38237671223725e-10
"Guangxi","p_transmission","a7",15.3698792481877,23.6574616018244,19.3701279219792,11605153.5569137,11605153.5569137,11605153.5569137,3167449234.71544,3167449234.71544,3167449234.71544,78.9726957830488,121.555695205024,99.5264482639357,272.78476089058,419.872850145696,343.781211829629,1401.60814461855,2157.37161730146,1766.39633620854,3153574.33611784,3153574.33611784,3153574.33611784,2649002.44233899,2649002.44233899,2649002.44233899,340141.374319335,340141.374319335,340141.374319335,26057596.3090253,40108156.4116408,31825201.1396572,1468198.25073876,2259867.8859543,1793170.17918763,2.50422813499512e-10,3.85453717747663e-10,3.15598865465325e-10
"Guangxi","suspect_bite_incidence","a2",70.2686702274667,80.6812891238643,75.3325708152191,28892411.6804151,28894151.7745637,28893275.0407598,4226793224.00316,4226987545.98915,4226887965.92828,512.015859600239,587.361609877088,549.566749958528,1093.22441221031,1257.09957204143,1172.28840581084,7881.17366799416,9057.02044074223,8455.49146261731,7560954.02162111,7561409.94801603,7561181.26758529,6885250.94488048,6885664.4730485,6885456.25279461,815516.939818031,815566.115583061,815541.450340482,7196236.78654733,8255579.32773686,7691309.50197999,466686.947617927,536339.85546533,499898.555230744,6.77143367599824e-10,7.7683531495825e-10,7.26826577104446e-10
"Guangxi","suspect_bite_incidence","a3",10.2483180356043,32.4584198538882,19.2156352172264,26493715.6835184,26496258.692891,26494742.4149963,4806557192.41053,4806859646.26296,4806687028.29531,52.6578050885952,166.775789911683,98.7326432871926,185.345635575864,548.601268776908,341.282553566085,952.34108838818,2818.78424464474,1753.55788751222,7199379.26182566,7200070.29698126,7199658.26494464,6047478.57993356,6048059.04946426,6047712.9425535,776517.847801254,776592.382162101,776547.940798664,28820473.2530774,91284846.3428273,48683868.5591924,1705188.04393854,5047413.89915087,2741105.41917415,7.31351263482425e-11,2.31653013192406e-10,1.37135180106985e-10
"Guangxi","suspect_bite_incidence","a7",10.2483180356043,32.4584198538882,19.2156352172264,5078669.24683015,10785549.8466932,7227790.31596701,2449690403.12652,3086472112.30675,2701277572.74635,52.6578050885952,166.775789911683,98.7326432871926,185.345635575864,548.601268776908,341.282553566085,952.34108838818,2818.78424464474,1753.55788751222,1380073.1648995,2930855.93660141,1964073.45542582,1159261.45851558,2461918.98674519,1649821.70255769,148853.311492895,316119.190465892,211842.998828773,14688525.2615128,58613763.0900842,27359518.4207608,869059.207983215,3240931.37421021,1540455.31771904,1.79666985439266e-10,1.20845614677124e-09,5.02693231836316e-10
"Guizhou","non_suspect_bite_incidence","a2",43.5424035911327,71.5972222721093,57.7422643825684,13631368.5601357,18497560.8043723,16079864.1542826,2604037077.09559,3245381964.14636,2926739110.11377,320.39053846568,526.820902135837,424.869616613464,677.410643762827,1113.87328051426,898.324770546135,4929.46526122888,8105.56188215771,6536.95963027339,3451621.56331932,4683798.21582245,4071609.21556175,3364062.71674851,4564982.1863637,3968322.86157953,692119.15587679,939195.218236719,816439.079904443,4942926.65028724,10129456.3181802,6888558.26745653,321265.461291179,658363.89794079,447721.766027086,6.84040011338151e-10,1.52629971875946e-09,1.0434931107573e-09
