"region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Guangxi","a4",9.57992325155534,27.3452836121794,17.0482045074016,23994929.6571198,33064772.5071333,28603784.8354643,4480704676.48095,5479494894.9722,4988244729.38316,51.9229266657982,160.769086541516,96.2203017061217,173.591520246369,476.182112482997,303.300989003996,935.781257264649,2825.44730861686,1704.74772331302,6311785.78881936,8697577.02074609,7524130.68246499,5685679.03974056,7834809.23282059,6777761.73526716,680782.903396268,938111.959880652,811545.211279991,27870436.8661315,105531318.183217,51841915.2812301,1585839.0502686,5855529.64694883,2926089.68539284,5.96981510390168e-11,2.54712520228904e-10,1.27882284036299e-10
"Guangxi","a5",69.878897431057,136.008492117811,100.328599288211,11988145.2594506,16477329.3217506,14220704.719728,2411696986.77195,2921419640.27235,2665193857.5409,361.881699825698,710.245703666123,520.21947780438,1076.57829505521,2095.39354426256,1545.696860394,5575.27376264641,10942.2892580347,8014.67995429819,3257648.16832897,4477535.14178006,3864321.93470869,2736424.46139633,3761129.51909525,3246030.4251553,351366.673787794,482942.462857256,416801.899555745,3395581.23945464,8072858.17901116,5123210.43569825,220401.501907025,523995.72911477,332539.024981476,8.08216325203046e-10,2.18024067353611e-09,1.34621153877439e-09
"Guangxi","a6",53.2450641570594,103.326515508046,76.3437090508689,12878039.0356944,17700460.7536043,15276317.4752213,2488379041.22403,3026816748.96474,2756155899.25639,378.677183942372,742.767928196855,544.204368041722,831.318799827377,1613.85731809609,1192.21901350444,5822.75200858085,11421.6783303079,8368.15780118774,3394895.81343175,4666177.77886164,4027128.29283768,3044123.70441547,4184052.59794053,3611030.44477295,366170.067540935,503289.269050237,434362.030537179,3350143.35805374,7993132.08536317,5064560.41353399,217864.570272569,519825.804791994,329362.323791885,8.11536126329833e-10,2.18789609170958e-09,1.35134599265089e-09
"Guangxi","a7",9.88582638401508,30.62276503702,18.316057878914,5876209.38342671,12267743.5066603,8240756.95697001,2557923031.88073,3280313250.42996,2836164727.47954,51.6582692157392,158.416679893729,94.9524483346093,178.326971660131,534.556823755398,324.708513459985,924.484681654366,2760.78190545137,1683.34019885703,1596796.02810508,3333625.95289682,2239336.12961142,1341308.66360827,2800245.80043333,1881042.34887359,172228.822795386,359561.561653498,241532.555603758,16146803.6926204,63500254.6587549,29869316.4549585,926521.224595801,3548261.33469279,1684843.46147337,1.54961204243235e-10,9.92090893924141e-10,4.24020525900621e-10
"Guangxi","a8",9.57992325155534,27.3452836121794,17.0482045074016,6128318.46291449,13013047.6436507,8650145.91643851,2581133044.62252,3351667928.62193,2874274238.98712,51.9229266657982,160.769086541516,96.2203017061217,173.591520246369,476.182112482997,303.300989003996,935.781257264649,2825.44730861686,1704.74772331302,1637838.48459159,3457408.53813088,2307354.4912454,1426320.74686565,3049115.28369444,2017718.46697386,176655.621109565,372912.627514259,248868.948071238,16054908.9389519,64550828.3882944,29871806.5524861,913530.766173112,3581678.84065031,1686040.81394591,1.50178742526818e-10,9.81593045065156e-10,4.17015686454778e-10
"Guizhou","a1",54.0799503879491,102.173967034261,77.3561144358583,12719305.7586829,17638391.1642728,15176961.649743,2490546280.052,3141459429.3226,2815753184.17599,280.752015094678,536.42985874314,405.251390939767,833.174290460365,1574.1272297147,1191.77486842201,4325.36197414765,8264.42265079562,6243.44212008662,3244720.85680687,4499589.58272264,3871673.89024057,3114932.0225346,4319605.99941374,3716806.93463095,650631.426206914,902257.703127544,776348.048471039,4642818.14194193,11189445.7044705,6948164.14484435,301357.56425916,726288.215436963,450993.719492818,6.23950273537612e-10,1.65323885294416e-09,1.04670848431035e-09
"Guizhou","a2",41.3201858991745,77.7870051760034,58.9103695052693,13387830.9612641,18565462.9125284,15974660.9545603,2571234463.02257,3253353094.00613,2912032138.52818,293.540554345739,560.827993941927,423.697135870356,645.020858122707,1214.7170299794,919.778937169391,4513.94142626065,8624.18489239577,6515.43805133924,3391838.20051885,4703603.33195335,4047217.6129791,3302077.28011317,4579128.12431085,3940112.86430108,680131.39596804,943166.540123286,811548.075754569,4584711.33894365,11083146.9309493,6872909.66115763,298142.316648349,720734.450624276,446943.415865894,6.24075912931704e-10,1.65346328682818e-09,1.04688498713683e-09
"Guizhou","a3",7.8903471032557,22.9467749903298,14.0826772190012,12859385.0038104,17525138.4122093,15164005.8777645,3114720177.3439,3732116219.37619,3419680987.64194,41.1299333734994,119.803364341672,73.7792747489477,142.987988861093,402.176296126364,249.489646532578,745.175417763606,2099.95673015968,1307.07055286651,3280455.3581149,4470698.5745432,3868368.84636849,3149237.1437903,4291870.63156147,3713634.09251375,657796.908409199,896464.478167402,775685.32107381,25998603.582291,90739661.1972351,46350157.2667697,1483230.645951,5008372.70045339,2616294.10909939,9.19988961181575e-11,3.65203458859188e-10,1.90724508647125e-10
"Guizhou","a4",7.6945126621224,20.5501254076086,13.0872373289786,13535214.8139947,18446193.1235363,15960962.4637493,3196290210.28741,3843283999.08589,3515870688.02498,41.3600896769448,121.784079171554,74.7747146389704,139.521524684484,357.705683050174,232.721920875986,748.076872193567,2135.76091421421,1323.83827852311,3429179.63417724,4673387.43290868,4043748.46942596,3338427.77282013,4549709.12885949,3936732.76244871,687619.10024522,937107.648046848,810852.443089294,26245550.5845299,92922525.7755725,47019513.2806647,1496558.05994717,5137552.2248353,2655815.85384231,8.85013071796673e-11,3.55140564693029e-10,1.84914356578626e-10
"Guizhou","a5",54.0799503879491,102.173967034261,77.3561144358583,6848730.23275519,9495729.82418903,8171577.99952031,1725976344.29378,2080962219.64073,1903379399.14363,280.752015094678,536.42985874314,405.251390939767,833.174290460365,1574.1272297147,1191.77486842201,4325.36197414765,8264.42265079562,6243.44212008662,1747125.05937632,2422380.05719108,2084586.22436743,1677240.05700127,2325484.85490344,2001202.77539273,350333.51690614,485735.649067955,418001.229710156,3217524.74468472,7412100.74285295,4696786.83823823,208844.152486275,481107.06851322,304860.582117037,1.15899243085839e-09,3.07035753316154e-09,1.94403755624328e-09
